ID,Model,Parameter,Value,Perplexity,Loss,Time(s)
EXP-01,RNN,layers,1,614.51,6.4208,589.8
EXP-02,RNN,layers,3,680.73,6.5232,873.8
EXP-03,RNN,dropout,0.1,662.54,6.4961,570.7
EXP-04,RNN,dropout,0.5,642.16,6.4648,977.1
EXP-05,RNN,lr,0.01,2319.56,7.7491,356.0
EXP-06,RNN,lr,0.0001,1013.86,6.9215,618.4
EXP-07,RNN,batch,64,700.62,6.552,1292.5
EXP-08,RNN,batch,256,647.59,6.4733,682.4
EXP-09,RNN,seq_len,10,637.8,6.458,497.2
EXP-10,RNN,seq_len,30,617.41,6.4255,733.0
EXP-11,Trans,heads,2,1054.88,6.9612,749.6
EXP-12,Trans,heads,8,1049.36,6.9559,1136.9
EXP-13,Trans,ff_dim,256,1046.48,6.9532,858.9
EXP-14,Trans,blocks,1,658.08,6.4893,1088.4
EXP-15,Trans,blocks,3,1047.99,6.9546,1362.9
